fighter_name,Height,Weight,Reach,Stance,DOB
Paul Creighton,"5' 6""",155 lbs.,NA,Southpaw,"Jun 04, 1970"
Paul Daley,"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983"
Paul Felder,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984"
Paul Georgieff,"6' 2""",170 lbs.,NA,Orthodox,"Sep 22, 1982"
Paul Herrera,"5' 10""",185 lbs.,NA,Orthodox,NA
Paul Jones,"5' 9""",199 lbs.,NA,Orthodox,"Jun 16, 1963"
Paul Kelly,"5' 9""",155 lbs.,"70""",Orthodox,"Sep 12, 1984"
Paul Redmond,"5' 10""",145 lbs.,"70""",Orthodox,"Oct 20, 1986"
Paul Rodriguez,"5' 7""",155 lbs.,NA,Orthodox,NA
Paul Ruiz,"5' 6""",135 lbs.,NA,NA,"Jun 23, 1987"
Paul Sass,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 04, 1988"
Paul Song,NA,185 lbs.,NA,NA,NA
Paul Taylor,"6' 0""",155 lbs.,"72""",Orthodox,"Dec 15, 1979"
Paul Varelans,"6' 8""",300 lbs.,NA,Orthodox,NA
Paulo Cesar Silva,"7' 5""",385 lbs.,NA,Orthodox,"Jul 21, 1963"
Paulo Costa,"6' 1""",185 lbs.,"72""",NA,"Apr 21, 1991"
Paulo Filho,"5' 8""",185 lbs.,NA,Southpaw,"May 24, 1978"
Paulo Santos,NA,NA,NA,NA,NA
Paulo Thiago,"5' 11""",170 lbs.,"73""",Orthodox,"Jan 25, 1981"
Pawel Nastula,"6' 0""",230 lbs.,NA,Southpaw,"Jun 26, 1970"
Pawel Pawlak,"6' 0""",170 lbs.,"73""",Orthodox,"Feb 08, 1989"
Pearl Gonzalez,"5' 4""",115 lbs.,"68""",Orthodox,"Aug 12, 1986"
Pedro Munhoz,"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986"
Pedro Nobre,"5' 5""",135 lbs.,NA,NA,"Feb 13, 1986"
Pedro Otavio,"6' 3""",245 lbs.,NA,Orthodox,NA
Pedro Rizzo,"6' 1""",241 lbs.,NA,Orthodox,"May 03, 1974"
Peggy Morgan,"6' 1""",135 lbs.,"70""",NA,"Dec 16, 1979"
Per Eklund,"5' 10""",155 lbs.,"72""",Orthodox,NA
Pete Rogers Jr.,"6' 0""",145 lbs.,NA,NA,NA
Pete Sabala,NA,135 lbs.,NA,NA,NA
Pete Sell,"5' 11""",170 lbs.,"75""",Orthodox,"Aug 05, 1982"
Pete Spratt,"5' 9""",170 lbs.,NA,Orthodox,"Jan 09, 1971"
Pete Williams,"6' 3""",235 lbs.,NA,Orthodox,"Jul 10, 1975"
Peter Petties,"5' 11""",145 lbs.,"72""",Southpaw,"Dec 20, 1990"
Peter Sobotta,"6' 0""",170 lbs.,"75""",Southpaw,"Jan 11, 1987"
Petr Yan,"5' 7""",135 lbs.,"67""",Switch,"Feb 11, 1993"
Phil Baroni,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976"
Phil Cardella,"5' 11""",155 lbs.,NA,NA,"Jul 09, 1976"
Phil Davis,"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984"
Phil Harris,"5' 4""",125 lbs.,"64""",Orthodox,"Sep 04, 1983"
Phil Hawes,"6' 1""",185 lbs.,"70""",Orthodox,"Jan 08, 1989"
Phil Johns,"5' 2""",170 lbs.,NA,Southpaw,"Oct 22, 1968"
Philip De Fries,"6' 5""",250 lbs.,"82""",Orthodox,"Apr 21, 1986"
Philip Perez,"5' 5""",155 lbs.,NA,Southpaw,NA
Philip Preece,"5' 8""",205 lbs.,NA,Orthodox,NA
Philipe Lins,"6' 2""",205 lbs.,NA,NA,"Aug 17, 1985"
Phillip Miller,"5' 11""",185 lbs.,NA,Orthodox,"Feb 20, 1979"
Phillipe Nover,"5' 9""",145 lbs.,"72""",Orthodox,"Feb 03, 1984"
Pietro Menga,"5' 7""",125 lbs.,"68""",Southpaw,"Feb 15, 1988"
Piotr Hallmann,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1987"
Poliana Botelho,"5' 8""",115 lbs.,"67""",Orthodox,"Dec 15, 1988"
Polo Reyes,"5' 11""",155 lbs.,"71""",NA,"Nov 07, 1984"
Polyana Viana,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 14, 1992"
Poppies Martinez,"5' 9""",145 lbs.,NA,NA,"Aug 19, 1983"
Priscila Cachoeira,"5' 7""",125 lbs.,"65""",Orthodox,"Aug 19, 1988"
Pro Escobedo,NA,205 lbs.,NA,NA,NA
Punahele Soriano,"5' 11""",185 lbs.,"72""",Southpaw,"Nov 22, 1992"
Quinn Mulhern,"6' 3""",155 lbs.,"76""",Orthodox,"Sep 20, 1984"
RJ Clifford,NA,160 lbs.,NA,NA,NA
Rachael Ostovich,"5' 3""",125 lbs.,"62""",Orthodox,"Feb 25, 1991"
Rafael Carino,"6' 8""",245 lbs.,NA,Orthodox,NA
Rafael Carvalho,"6' 3""",185 lbs.,NA,NA,"Jul 27, 1986"
Rafael Dias,"5' 9""",145 lbs.,NA,Orthodox,"Oct 20, 1979"
Rafael Dos Anjos,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984"
Rafael Feijao,"6' 1""",205 lbs.,"73""",Orthodox,"Apr 14, 1980"
Rafael Fiziev,"5' 8""",155 lbs.,"71""",Switch,"Mar 05, 1993"
Rafael Freitas,NA,205 lbs.,NA,Orthodox,NA
Rafael Natal,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 25, 1982"
Rafael Rebello,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 16, 1980"
Rafael Rios,NA,150 lbs.,NA,NA,NA
Rafael Silva,"5' 7""",135 lbs.,NA,NA,"Mar 20, 1985"
Rafaello Oliveira,"5' 8""",155 lbs.,"71""",Orthodox,"Jan 26, 1982"
Rainy Martinez,"6' 0""",199 lbs.,NA,Orthodox,NA
Raja Shippen,"5' 6""",145 lbs.,NA,NA,"Oct 07, 1986"
Ralek Gracie,"6' 2""",210 lbs.,NA,Orthodox,"Oct 04, 1985"
Ralph Dillon,"6' 2""",205 lbs.,NA,Orthodox,NA
Ralph Gracie,"5' 9""",183 lbs.,NA,Orthodox,NA
Ramazan Emeev,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987"
Ramazan Kuramagomedov,"6' 0""",170 lbs.,NA,NA,NA
Rameau Thierry Sokoudjou,"5' 10""",205 lbs.,"78""",Orthodox,"Apr 18, 1984"
Ramiz Brahimaj,"5' 10""",170 lbs.,"73""",Orthodox,"Nov 17, 1992"
Rampage Jackson,"6' 1""",205 lbs.,"73""",Orthodox,"Jun 20, 1978"
Ramsey Nijem,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 01, 1988"
Randa Markos,"5' 4""",115 lbs.,"63""",Orthodox,"Aug 10, 1985"
Randall Wallace,"5' 11""",185 lbs.,"73""",Orthodox,"Mar 01, 1989"
Randy Brown,"6' 3""",170 lbs.,"78""",Orthodox,"Jul 08, 1990"
Randy Costa,"5' 9""",135 lbs.,"73""",Switch,"Jul 06, 1994"
Randy Couture,"6' 1""",205 lbs.,"75""",Orthodox,"Jun 22, 1963"
Rani Yahya,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 12, 1984"
Raoni Barcelos,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987"
Raou Raou,"5' 8""",195 lbs.,NA,Orthodox,NA
Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982"
Raphael Butler,"6' 3""",261 lbs.,NA,NA,"Jan 04, 1984"
Raphael Pessoa,"6' 4""",247 lbs.,NA,NA,"Mar 09, 1989"
Raquel Pa'aluhi,"5' 7""",135 lbs.,NA,NA,NA
Raquel Pennington,"5' 7""",135 lbs.,"67""",Orthodox,"Sep 05, 1988"
Rashad Coulter,"5' 11""",205 lbs.,"76""",Orthodox,"Nov 27, 1981"
Rashad Evans,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979"
Rashard Lovelace,NA,155 lbs.,NA,NA,NA
Rashid Magomedov,"5' 9""",155 lbs.,"70""",Orthodox,"Nov 29, 1984"
Raul Castillo,"5' 11""",185 lbs.,NA,Orthodox,NA
Raul Sandoval,NA,130 lbs.,NA,NA,NA
Raulian Paiva,"5' 8""",125 lbs.,"69""",Orthodox,"Oct 17, 1995"
Ray Borg,"5' 4""",135 lbs.,"63""",Orthodox,"Aug 04, 1993"
Ray Perales,"5' 10""",170 lbs.,NA,Orthodox,NA
Ray Routh,"5' 8""",185 lbs.,NA,Orthodox,NA
Ray Sefo,"6' 0""",240 lbs.,NA,Orthodox,"Feb 15, 1971"
Ray Seraille,"6' 3""",246 lbs.,NA,NA,NA
Ray Sloan,"6' 1""",205 lbs.,NA,NA,"Jul 14, 1985"
Ray Steinbeiss,"5' 11""",170 lbs.,NA,Orthodox,"Sep 12, 1979"
Ray Wizard,NA,NA,NA,NA,NA
Raymond Daniels,"6' 2""",185 lbs.,NA,Southpaw,NA
Razak Al-Hassan,"6' 2""",205 lbs.,NA,Orthodox,"May 14, 1982"
Reese Andy,"6' 0""",205 lbs.,NA,Orthodox,"Mar 31, 1973"
Reginaldo Vieira,"5' 7""",135 lbs.,"65""",NA,"Nov 26, 1982"
Remco Pardoel,"6' 3""",260 lbs.,NA,Southpaw,NA
Remo Cardarelli,NA,135 lbs.,NA,NA,NA
Renan Barao,"5' 6""",135 lbs.,"70""",Orthodox,"Jan 31, 1987"
Renato Moicano,"5' 11""",145 lbs.,"72""",Orthodox,"May 21, 1989"
Renato Sobral,"6' 1""",205 lbs.,"75""",Orthodox,"Sep 07, 1975"
Renato Verissimo,"6' 1""",170 lbs.,NA,Orthodox,"Aug 03, 1973"
Rene Kronvold,"5' 8""",170 lbs.,NA,Orthodox,NA
Renee Forte,"5' 7""",155 lbs.,"71""",Orthodox,"Mar 27, 1987"
Renzo Gracie,"5' 10""",185 lbs.,NA,Orthodox,"Mar 11, 1967"
Reuben Duran,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 02, 1983"
Rex Holman,"6' 3""",205 lbs.,NA,Southpaw,NA
Rex Richards,"6' 5""",265 lbs.,NA,NA,NA
Reynaldo Trujillo,"5' 9""",155 lbs.,NA,NA,"Jan 01, 1982"
Reza Madadi,"5' 11""",155 lbs.,"72""",Orthodox,"Jun 20, 1978"
Reza Nasri,"5' 11""",205 lbs.,NA,Orthodox,NA
Rhadi Ferguson,"5' 7""",205 lbs.,NA,NA,NA
Ricardo Abreu,"5' 11""",185 lbs.,"73""",Orthodox,"Apr 27, 1984"
Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976"
Ricardo Arona,"5' 11""",205 lbs.,NA,Orthodox,"Jul 17, 1978"
Ricardo Barros,"6' 1""",205 lbs.,NA,NA,"Mar 22, 1976"
Ricardo Funch,"5' 10""",170 lbs.,"76""",Southpaw,"Aug 14, 1980"
Ricardo Lamas,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982"
Ricardo Morais,"6' 8""",270 lbs.,NA,Orthodox,"Feb 26, 1967"
Ricardo Palacios,"5' 6""",145 lbs.,NA,Orthodox,"Jul 05, 1987"
Ricardo Prasel,"6' 9""",242 lbs.,NA,NA,"Jun 02, 1990"
Ricardo Ramos,"5' 9""",135 lbs.,"72""",Orthodox,"Aug 01, 1995"
Ricardo Romero,"6' 0""",205 lbs.,"76""",Orthodox,"Apr 15, 1978"
Ricco Rodriguez,"6' 4""",265 lbs.,NA,Orthodox,"Aug 19, 1977"
Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977"
Rich Bouphanouvong,"5' 7""",170 lbs.,NA,NA,NA
Rich Clementi,"5' 9""",155 lbs.,"72""",Southpaw,"Mar 31, 1976"
Rich Franklin,"6' 1""",185 lbs.,"75""",Southpaw,"Oct 05, 1974"
Richard Crunkilton,"5' 7""",155 lbs.,NA,Orthodox,"Nov 25, 1979"
Richard Dalton,"6' 1""",205 lbs.,NA,Orthodox,NA
Richard Odoms,"6' 5""",265 lbs.,"82""",Orthodox,"May 08, 1975"
Richard Walsh,"6' 0""",170 lbs.,"73""",NA,"Dec 01, 1988"
Richardson Moreira,"6' 2""",185 lbs.,"72""",Orthodox,"Mar 31, 1984"
Richie Hightower,"5' 8""",170 lbs.,NA,Orthodox,"Nov 26, 1974"
Richie Santiago,"5' 7""",135 lbs.,"67""",Southpaw,"Oct 10, 1992"
Richie Smullen,"5' 9""",155 lbs.,"68""",Orthodox,"Aug 17, 1991"
Richie Vaculik,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 19, 1983"
Rick Davis,"5' 9""",155 lbs.,NA,Orthodox,NA
Rick Glenn,"6' 0""",145 lbs.,"70""",Southpaw,"Apr 12, 1989"
Rick Roufus,"6' 0""",207 lbs.,NA,Southpaw,NA
Rick Story,"5' 9""",170 lbs.,"71""",Southpaw,"Aug 28, 1984"
Rickson Gracie,"5' 10""",185 lbs.,NA,Switch,"Nov 20, 1958"
Ricky Johnson,"5' 8""",145 lbs.,NA,Orthodox,NA
Ricky Legere Jr.,"5' 8""",170 lbs.,NA,NA,NA
Ricky Rainey,"6' 1""",170 lbs.,"77""",Switch,"Jun 29, 1983"
Ricky Simon,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992"
Ricky Turcios,"5' 9""",135 lbs.,"71""",Orthodox,"Jun 05, 1993"
Rico Altamirano,"5' 10""",170 lbs.,NA,NA,NA
Rico DiSciullo,"5' 8""",135 lbs.,"71""",Orthodox,"Oct 12, 1986"
Rico Farrington,"6' 4""",170 lbs.,NA,NA,"Jun 19, 1989"
Riki Fukuda,"6' 0""",185 lbs.,"73""",Southpaw,"Jan 06, 1981"
Rilley Dutro,"5' 8""",125 lbs.,"70""",Orthodox,"Sep 03, 1987"
Rin Nakai,"5' 1""",135 lbs.,"60""",Orthodox,"Oct 22, 1986"
Roan Carneiro,"5' 11""",170 lbs.,"74""",Orthodox,"Jun 02, 1978"
Rob Broughton,"6' 2""",265 lbs.,"74""",NA,"Mar 03, 1983"
Rob Emerson,"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981"
Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987"
Rob Kimmons,"5' 10""",185 lbs.,"73""",Orthodox,"Jan 30, 1981"
Rob MacDonald,"6' 3""",205 lbs.,"78""",Orthodox,"Sep 05, 1978"
Rob McCullough,"5' 9""",155 lbs.,"69""",Orthodox,"May 26, 1977"
Rob Sinclair,"5' 8""",155 lbs.,NA,NA,"Feb 20, 1980"
Rob Whiteford,"5' 9""",145 lbs.,"69""",Southpaw,"Apr 12, 1983"
Rob Wilkinson,"6' 3""",185 lbs.,"80""",Orthodox,"Feb 22, 1992"
Rob Yundt,"6' 1""",185 lbs.,NA,Orthodox,"May 05, 1980"
Robbie Lawler,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982"
Robert Breslin,"5' 11""",155 lbs.,NA,NA,NA
Robert Densley,"5' 9""",155 lbs.,NA,NA,NA
Robert Drysdale,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 05, 1981"
Robert Lucarelli,"6' 2""",245 lbs.,NA,NA,NA
Robert Peralta,"5' 8""",145 lbs.,"71""",Orthodox,"Mar 14, 1986"
Robert Whittaker,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 20, 1990"
Roberta Rovel,"5' 8""",145 lbs.,NA,NA,NA
Roberto Sanchez,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 05, 1986"
Roberto Traven,"6' 3""",227 lbs.,NA,Orthodox,"Sep 16, 1968"
Rocky Lee,"5' 9""",145 lbs.,"68""",Orthodox,"Apr 08, 1987"
Rocky Long,NA,145 lbs.,NA,NA,"Feb 18, 1978"
Rodney Faverus,"6' 0""",215 lbs.,NA,Southpaw,NA
Rodney Wallace,"5' 9""",205 lbs.,"72""",Switch,"Nov 21, 1981"
Rodolfo Marques Diniz,"5' 6""",135 lbs.,NA,NA,"Jan 23, 1984"
Rodolfo Rubio,"5' 5""",145 lbs.,"66""",Orthodox,"Jan 29, 1987"
Rodrigo Damm,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980"
Rodrigo Gracie,"6' 0""",183 lbs.,NA,Orthodox,"Apr 11, 1975"
Rodrigo Gripp de Sousa,"5' 11""",205 lbs.,NA,Orthodox,NA
Rodrigo Nascimento,"6' 3""",246 lbs.,NA,NA,"Nov 26, 1992"
Rodrigo Ruas,"5' 10""",185 lbs.,NA,Orthodox,"Oct 06, 1977"
Rodrigo de Lima,"5' 7""",155 lbs.,"75""",Orthodox,"Mar 12, 1991"
Roger Bowling,"5' 9""",155 lbs.,"68""",Orthodox,"Dec 05, 1982"
Roger Carroll,"5' 10""",170 lbs.,NA,NA,NA
Roger Gracie,"6' 4""",185 lbs.,"79""",Orthodox,"Sep 26, 1981"
Roger Hollett,"5' 11""",205 lbs.,"70""",Orthodox,"Oct 08, 1978"
Roger Huerta,"5' 9""",155 lbs.,"70""",Orthodox,"May 20, 1983"
Roger Narvaez,"6' 3""",185 lbs.,"79""",Southpaw,"Sep 09, 1983"
Roger Zapata,"5' 11""",170 lbs.,"74""",Southpaw,"May 09, 1986"
Rogerio Bontorin,"5' 6""",125 lbs.,"67""",Orthodox,"Apr 25, 1992"
Rogerio Nogueira,"6' 2""",205 lbs.,"75""",Southpaw,"Jun 02, 1976"
Roland Delorme,"5' 9""",135 lbs.,"71""",Orthodox,"Dec 18, 1983"
Roland Payne,"5' 9""",205 lbs.,NA,Orthodox,NA
Rolando Delgado,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981"
Rolando Dy,"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990"
Rolando Perez,"5' 8""",135 lbs.,NA,Orthodox,NA
Roldan Sangcha-an,"5' 4""",125 lbs.,"65""",Orthodox,"Dec 04, 1990"
Rolles Gracie,"6' 4""",242 lbs.,NA,Orthodox,"Jul 14, 1978"
Roman Dolidze,"6' 3""",205 lbs.,NA,NA,"Jul 15, 1988"
Roman Kopylov,"6' 0""",185 lbs.,NA,NA,"May 04, 1991"
Roman Mitichyan,"5' 10""",170 lbs.,NA,Orthodox,"Sep 04, 1978"
Roman Salazar,"5' 7""",135 lbs.,"67""",Orthodox,"Feb 21, 1988"
Roman Zentsov,"6' 1""",230 lbs.,NA,Orthodox,"Sep 10, 1973"
Romie Aram,"5' 10""",170 lbs.,NA,Orthodox,"Dec 02, 1977"
Ron Faircloth,"5' 9""",205 lbs.,NA,Orthodox,"Aug 16, 1979"
Ron Fields,"6' 2""",200 lbs.,NA,Orthodox,"Nov 18, 1974"
Ron Henderson,"5' 10""",125 lbs.,NA,NA,NA
Ron Keslar,NA,185 lbs.,NA,NA,NA
Ron Sparks,"6' 5""",265 lbs.,NA,NA,NA
Ron Stallings,"6' 2""",170 lbs.,"75""",Southpaw,"Jan 25, 1983"
Ron Waterman,"6' 2""",280 lbs.,NA,Orthodox,"Nov 23, 1965"
Ron van Clief,"5' 10""",190 lbs.,NA,Orthodox,"Jan 25, 1943"
Ronald Carillo,NA,125 lbs.,NA,NA,NA
Ronald Jhun,"5' 11""",170 lbs.,NA,Orthodox,"Sep 21, 1970"
Ronaldo Candido,"5' 6""",125 lbs.,NA,Southpaw,"Apr 24, 1989"
Ronda Rousey,"5' 7""",135 lbs.,"68""",Orthodox,"Feb 01, 1987"
Ronny Markes,"6' 1""",185 lbs.,"75""",Orthodox,"Apr 21, 1988"
Rony Jason,"5' 7""",145 lbs.,"70""",Orthodox,"Mar 21, 1984"
Rony Sefo,"5' 9""",225 lbs.,NA,Orthodox,NA
Ronys Torres,"5' 7""",155 lbs.,NA,Orthodox,"Aug 13, 1975"
Roosevelt Roberts,"6' 2""",155 lbs.,"73""",Orthodox,"Feb 11, 1994"
Rory MacDonald,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989"
Rory Markham,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 25, 1982"
Rory Singer,"6' 2""",185 lbs.,"77""",Orthodox,"May 28, 1976"
Rose Namajunas,"5' 5""",115 lbs.,"65""",Orthodox,"Jun 29, 1992"
Roshaun Jones,"5' 8""",135 lbs.,NA,NA,NA
Rosi Sexton,"5' 3""",135 lbs.,"63""",Orthodox,"Jul 16, 1977"
Ross Ebanez,"5' 9""",154 lbs.,NA,Southpaw,"May 18, 1975"
Ross Pearson,"5' 8""",155 lbs.,"69""",Orthodox,"Sep 26, 1984"
Ross Pointon,"5' 8""",170 lbs.,NA,Orthodox,"Feb 18, 1980"
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991"
Rousimar Palhares,"5' 8""",170 lbs.,"71""",Orthodox,"Feb 26, 1980"
Roxanne Modafferi,"5' 7""",125 lbs.,"69""",NA,"Sep 24, 1982"
Roy Boughton,"6' 0""",205 lbs.,NA,NA,NA
Roy Jones,NA,205 lbs.,NA,NA,"Oct 26, 1983"
Roy Nelson,"6' 0""",263 lbs.,"72""",Orthodox,"Jun 20, 1976"
Royce Alger,"5' 10""",199 lbs.,NA,Orthodox,NA
Royce Gracie,"6' 1""",175 lbs.,NA,Southpaw,"Dec 12, 1966"
Royler Gracie,"5' 8""",150 lbs.,NA,Southpaw,"Dec 06, 1965"
Royston Wee,"5' 7""",135 lbs.,"67""",Orthodox,"Nov 15, 1986"
Ruan Potts,"6' 2""",247 lbs.,"75""",Orthodox,"Feb 23, 1978"
Ruben Villareal,"6' 4""",265 lbs.,NA,Orthodox,"May 01, 1970"
Rubens Xavier,"6' 3""",220 lbs.,NA,Orthodox,NA
Rubin Williams,"6' 1""",185 lbs.,NA,Orthodox,"Apr 09, 1976"
Rudy Bears,"5' 11""",170 lbs.,NA,Southpaw,NA
Rudyard Moncayo,"5' 10""",195 lbs.,NA,Orthodox,NA
Rulon Gardner,"6' 3""",265 lbs.,NA,Orthodox,"Aug 16, 1971"
Ruslan Magomedov,"6' 3""",242 lbs.,"78""",Orthodox,"Nov 26, 1986"
Russell Doane,"5' 7""",135 lbs.,"70""",Orthodox,"Aug 13, 1986"
Russell Patrick,"5' 9""",145 lbs.,NA,NA,NA
Rustam Khabilov,"5' 8""",155 lbs.,"73""",Orthodox,"Nov 04, 1986"
Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983"
Ryan Bastianelli,"5' 5""",135 lbs.,NA,NA,NA
Ryan Benoit,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 25, 1989"
Ryan Couture,"5' 10""",155 lbs.,"75""",Orthodox,"Aug 27, 1982"
Ryan Diaz,NA,145 lbs.,NA,NA,NA
Ryan Gracie,"5' 9""",200 lbs.,NA,Orthodox,"Aug 14, 1974"
Ryan Hall,"5' 10""",155 lbs.,"71""",NA,"Feb 22, 1985"
Ryan Hayes,NA,NA,NA,NA,NA
Ryan Healy,"6' 1""",155 lbs.,NA,Orthodox,"Jul 20, 1983"
Ryan Janes,"6' 3""",185 lbs.,"76""",Orthodox,"Aug 22, 1981"
Ryan Jensen,"6' 1""",185 lbs.,"76""",Orthodox,"Sep 20, 1977"
Ryan Jimmo,"6' 1""",205 lbs.,"73""",Orthodox,"Nov 27, 1981"
Ryan Keenan,"5' 10""",170 lbs.,NA,NA,"Jun 15, 1985"
Ryan LaFlare,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983"
Ryan Larson,NA,170 lbs.,NA,NA,"Dec 30, 1980"
Ryan MacDonald,"5' 11""",135 lbs.,"71""",Switch,"Mar 18, 1993"
Ryan Madigan,"6' 0""",170 lbs.,NA,Orthodox,NA
Ryan McGillivray,"5' 11""",170 lbs.,NA,NA,"Sep 27, 1986"
Ryan McGivern,"6' 0""",185 lbs.,NA,Orthodox,"Jan 17, 1980"
Ryan Parker,"6' 3""",235 lbs.,NA,Southpaw,NA
Ryan Quinn,"5' 8""",145 lbs.,NA,NA,NA
Ryan Roberts,"5' 6""",155 lbs.,NA,Orthodox,"Jul 16, 1978"
Ryan Spann,"6' 5""",205 lbs.,"79""",Orthodox,"Aug 24, 1991"
Ryan Stonitsch,"5' 9""",170 lbs.,NA,Southpaw,"Feb 03, 1977"
Ryan Thomas,"6' 0""",170 lbs.,NA,Orthodox,"Nov 05, 1984"
Ryan Tobar,NA,155 lbs.,NA,NA,NA
Ryo Chonan,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 08, 1976"
Ryo Kawamura,"5' 11""",205 lbs.,NA,Orthodox,"Jun 29, 1981"
Ryuichi Murata,"5' 8""",183 lbs.,NA,Orthodox,NA
Ryuki Ueyama,"5' 11""",180 lbs.,NA,Southpaw,"Apr 17, 1976"
Ryuta Sakurai,"5' 7""",183 lbs.,NA,Orthodox,NA
Saad Awad,"5' 11""",155 lbs.,NA,NA,"Jun 07, 1983"
Sabah Homasi,"6' 0""",170 lbs.,"72""",Orthodox,"Oct 19, 1988"
Sabina Mazo,"5' 7""",125 lbs.,"70""",Orthodox,"Mar 25, 1997"
Saeed Hosseini,NA,NA,NA,NA,NA
Sage Northcutt,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 01, 1996"
Sai Wang,"6' 0""",170 lbs.,"72""",Southpaw,"Jan 14, 1986"
Said Nurmagomedov,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 05, 1992"
Sako Chivitchian,"5' 11""",155 lbs.,NA,NA,"Mar 11, 1984"
Salim Touahri,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 28, 1989"
Salvador Becerra,"5' 9""",155 lbs.,NA,NA,NA
Salvador Woods,"5' 11""",170 lbs.,NA,NA,"Feb 05, 1985"
Sam Adkins,"6' 3""",225 lbs.,NA,Orthodox,"Apr 26, 1965"
Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986"
Sam Fulton,NA,NA,NA,NA,NA
Sam Greco,"6' 2""",205 lbs.,NA,Orthodox,"May 03, 1967"
Sam Hoger,"6' 2""",205 lbs.,NA,Orthodox,"Jun 28, 1980"
Sam Liera,NA,NA,NA,NA,NA
Sam Oropeza,"6' 2""",170 lbs.,NA,NA,NA
Sam Sicilia,"5' 8""",145 lbs.,"67""",Orthodox,"Feb 01, 1986"
Sam Spengler,"5' 11""",185 lbs.,NA,Orthodox,NA
Sam Stout,"5' 9""",155 lbs.,"70""",Orthodox,"Apr 23, 1984"
Sam Watford,NA,155 lbs.,NA,NA,NA
Sammy Morgan,"5' 10""",170 lbs.,NA,Orthodox,"Sep 28, 1981"
Samy Schiavo,"5' 8""",155 lbs.,NA,Orthodox,"Dec 24, 1975"
Sanae Kikuta,"5' 9""",200 lbs.,NA,Orthodox,"Sep 10, 1971"
Santiago Ponzinibbio,"6' 0""",170 lbs.,"73""",Orthodox,"Sep 26, 1986"
Saparbeg Safarov,"6' 1""",205 lbs.,"78""",Orthodox,"Oct 14, 1986"
Sara McMann,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 24, 1980"
Sarah D'alelio,"5' 7""",145 lbs.,NA,NA,"Dec 13, 1980"
Sarah Frota,"5' 6""",115 lbs.,"69""",Southpaw,"Apr 14, 1987"
Sarah Kaufman,"5' 5""",135 lbs.,"67""",Orthodox,"Sep 20, 1985"
Sarah Moras,"5' 7""",135 lbs.,"67""",NA,"Apr 30, 1988"
Sarah Payant,"5' 4""",115 lbs.,NA,NA,NA
Satoru Kitaoka,"5' 6""",154 lbs.,NA,NA,"Feb 04, 1980"
Satoshi Honma,"6' 1""",205 lbs.,NA,Orthodox,"May 19, 1968"
Satoshi Ishii,"5' 11""",240 lbs.,NA,Orthodox,"Dec 19, 1986"
